Image,Class,Confidence,BBox (xyxy),Status
dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Cannabis,0.64,"[272.7249755859375, 69.2291030883789, 332.1627197265625, 169.11410522460938]",
dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Cannabis,0.48,"[180.541259765625, 197.97254943847656, 254.3083953857422, 297.6591796875]",
dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Cannabis,0.40,"[226.6903839111328, 252.84072875976562, 299.37628173828125, 343.7530212402344]",
dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Cannabis,0.36,"[108.84077453613281, 204.4974365234375, 179.33145141601562, 293.4811706542969]",
dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Cannabis,0.31,"[161.07229614257812, 271.19158935546875, 230.09219360351562, 370.88409423828125]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.95,"[311.5652160644531, 296.2716369628906, 386.0047607421875, 386.1725158691406]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.94,"[327.59649658203125, 200.90701293945312, 417.4542541503906, 272.43780517578125]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.94,"[299.03106689453125, 239.5944061279297, 368.0829162597656, 332.95648193359375]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.93,"[280.59429931640625, 345.7015075683594, 347.0660400390625, 443.44635009765625]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.92,"[346.99603271484375, 240.5427703857422, 424.50421142578125, 323.27642822265625]",
dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Cannabis,0.91,"[324.842041015625, 354.35009765625, 413.2743225097656, 441.86492919921875]",
