Split,Image_Path,Image_Name,Status,Class,Confidence
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.96
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.96
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.96
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.95
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.95
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.95
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.95
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.95
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.94
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.93
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.93
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.92
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_1_jpg.rf.dfc7bc721b89adca280531d705649bb0.jpg,Detected,Cannabis,0.92
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.96
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.96
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.96
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.95
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.95
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.94
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.94
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.91
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.9
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.86
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.82
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.27
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.2
train,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,C:\Users\wangs\xray_drug_detection\dataset\train\images\Cannabis_2_jpg.rf.00618025176c627a985cdd0e4354a74b.jpg,Detected,Cannabis,0.17
